"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"DMTYFCXLT","电子信息集团研发中心创新论坛","14838943","","","视像科技研发中心创新论坛 主页","0","1","视像科技研发中心创新论坛 主页","其他","2024-06-12 09:13:50","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14838943"
"DMTYFCXLT","电子信息集团研发中心创新论坛","15576936","14838943","视像科技研发中心创新论坛 主页","文件列表","1","1","视像科技研发中心创新论坛 主页 / 文件列表","其他","2017-08-08 16:21:34","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=15576936"
"DMTYFCXLT","电子信息集团研发中心创新论坛","250626235","15576936","文件列表","202406技术类","2","1","视像科技研发中心创新论坛 主页 / 文件列表 / 202406技术类","其他","2024-07-04 11:09:05","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=250626235"
"DMTYFCXLT","电子信息集团研发中心创新论坛","14838956","14838943","视像科技研发中心创新论坛 主页","论坛数据","1","2","视像科技研发中心创新论坛 主页 / 论坛数据","数据与质量","2017-07-17 11:34:04","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14838956"
"DMTYFCXLT","电子信息集团研发中心创新论坛","54100266","14838943","视像科技研发中心创新论坛 主页","创新成果","1","3","视像科技研发中心创新论坛 主页 / 创新成果","其他","2019-05-05 14:36:35","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=54100266"
"DMTYFCXLT","电子信息集团研发中心创新论坛","54100268","54100266","创新成果","2019年Q1","2","1","视像科技研发中心创新论坛 主页 / 创新成果 / 2019年Q1","其他","2019-05-05 14:37:32","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=54100268"
"DMTYFCXLT","电子信息集团研发中心创新论坛","62034020","54100266","创新成果","2019年Q2","2","2","视像科技研发中心创新论坛 主页 / 创新成果 / 2019年Q2","其他","2019-07-31 17:47:06","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=62034020"
"DMTYFCXLT","电子信息集团研发中心创新论坛","70779355","54100266","创新成果","2019年Q3","2","3","视像科技研发中心创新论坛 主页 / 创新成果 / 2019年Q3","其他","2019-11-04 10:14:06","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=70779355"
"DMTYFCXLT","电子信息集团研发中心创新论坛","78318207","54100266","创新成果","2019年Q4","2","4","视像科技研发中心创新论坛 主页 / 创新成果 / 2019年Q4","其他","2020-01-22 15:07:29","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=78318207"
"DMTYFCXLT","电子信息集团研发中心创新论坛","89000724","54100266","创新成果","2020年Q1","2","5","视像科技研发中心创新论坛 主页 / 创新成果 / 2020年Q1","其他","2020-05-19 17:15:03","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=89000724"
"DMTYFCXLT","电子信息集团研发中心创新论坛","98606222","54100266","创新成果","2020年Q2","2","6","视像科技研发中心创新论坛 主页 / 创新成果 / 2020年Q2","其他","2020-08-28 17:56:44","未知用户 (sunliping1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=98606222"
"DMTYFCXLT","电子信息集团研发中心创新论坛","105583366","54100266","创新成果","2020年Q3","2","7","视像科技研发中心创新论坛 主页 / 创新成果 / 2020年Q3","其他","2020-11-05 09:58:29","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=105583366"
"DMTYFCXLT","电子信息集团研发中心创新论坛","112821127","54100266","创新成果","2020年Q4","2","8","视像科技研发中心创新论坛 主页 / 创新成果 / 2020年Q4","其他","2021-01-11 11:31:40","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=112821127"
"DMTYFCXLT","电子信息集团研发中心创新论坛","124716253","54100266","创新成果","2021年Q1","2","9","视像科技研发中心创新论坛 主页 / 创新成果 / 2021年Q1","其他","2021-05-10 14:40:55","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=124716253"
"DMTYFCXLT","电子信息集团研发中心创新论坛","129081323","54100266","创新成果","2021年Q2","2","10","视像科技研发中心创新论坛 主页 / 创新成果 / 2021年Q2","其他","2021-07-19 11:00:48","未知用户 (zhangjiguang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=129081323"
"DMTYFCXLT","电子信息集团研发中心创新论坛","139073921","54100266","创新成果","2021年Q3","2","11","视像科技研发中心创新论坛 主页 / 创新成果 / 2021年Q3","其他","2021-09-28 10:10:42","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=139073921"
"DMTYFCXLT","电子信息集团研发中心创新论坛","146976244","54100266","创新成果","2021年Q4","2","12","视像科技研发中心创新论坛 主页 / 创新成果 / 2021年Q4","其他","2021-12-10 10:40:20","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=146976244"
"DMTYFCXLT","电子信息集团研发中心创新论坛","157987245","54100266","创新成果","2022年Q1","2","13","视像科技研发中心创新论坛 主页 / 创新成果 / 2022年Q1","其他","2022-03-24 18:11:12","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=157987245"
"DMTYFCXLT","电子信息集团研发中心创新论坛","172273606","54100266","创新成果","2022年Q2","2","14","视像科技研发中心创新论坛 主页 / 创新成果 / 2022年Q2","其他","2022-07-21 10:25:19","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=172273606"
"DMTYFCXLT","电子信息集团研发中心创新论坛","181156787","54100266","创新成果","2022年Q3","2","15","视像科技研发中心创新论坛 主页 / 创新成果 / 2022年Q3","其他","2022-09-29 11:21:55","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=181156787"
"DMTYFCXLT","电子信息集团研发中心创新论坛","193508739","54100266","创新成果","2022年Q4","2","16","视像科技研发中心创新论坛 主页 / 创新成果 / 2022年Q4","其他","2023-01-06 09:34:47","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=193508739"
"DMTYFCXLT","电子信息集团研发中心创新论坛","126227125","14838943","视像科技研发中心创新论坛 主页","微提案和创新提案","1","4","视像科技研发中心创新论坛 主页 / 微提案和创新提案","其他","2022-01-29 09:47:14","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=126227125"
"DMTYFCXLT","电子信息集团研发中心创新论坛","152319393","126227125","微提案和创新提案","2021全年创新提案申报和奖励情况","2","1","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2021全年创新提案申报和奖励情况","其他","2022-01-29 09:50:26","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=152319393"
"DMTYFCXLT","电子信息集团研发中心创新论坛","145065574","126227125","微提案和创新提案","2021年11月","2","2","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2021年11月","其他","2021-11-22 14:42:48","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=145065574"
"DMTYFCXLT","电子信息集团研发中心创新论坛","150741495","126227125","微提案和创新提案","2021年12月","2","3","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2021年12月","其他","2022-01-12 17:11:30","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=150741495"
"DMTYFCXLT","电子信息集团研发中心创新论坛","126227128","126227125","微提案和创新提案","2021年5月","2","4","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2021年5月","其他","2021-05-26 10:32:54","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=126227128"
"DMTYFCXLT","电子信息集团研发中心创新论坛","129084565","126227125","微提案和创新提案","2021年6月","2","5","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2021年6月","其他","2021-06-25 17:39:29","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=129084565"
"DMTYFCXLT","电子信息集团研发中心创新论坛","134687966","126227125","微提案和创新提案","2021年7月","2","6","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2021年7月","其他","2021-08-20 18:02:07","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=134687966"
"DMTYFCXLT","电子信息集团研发中心创新论坛","139728694","126227125","微提案和创新提案","2021年9月","2","7","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2021年9月","其他","2021-10-09 16:43:20","王军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=139728694"
"DMTYFCXLT","电子信息集团研发中心创新论坛","187803433","126227125","微提案和创新提案","2022年11月","2","8","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2022年11月","其他","2022-11-23 10:27:50","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=187803433"
"DMTYFCXLT","电子信息集团研发中心创新论坛","194361891","126227125","微提案和创新提案","2022年12月","2","9","视像科技研发中心创新论坛 主页 / 微提案和创新提案 / 2022年12月","其他","2023-01-12 16:06:58","未知用户 (liuyang1)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=194361891"
