"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"DZKJSZDSPT","海外数字电视与浏览器开发所","13716865","","","海外数字电视与浏览器开发所 主页","0","1","海外数字电视与浏览器开发所 主页","其他","2025-09-04 17:06:52","娄哲","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=13716865"
"DZKJSZDSPT","海外数字电视与浏览器开发所","122494329","13716865","海外数字电视与浏览器开发所 主页","会议纪要 (2)","1","1","海外数字电视与浏览器开发所 主页 / 会议纪要 (2)","会议与协同","2021-04-22 18:03:12","陈秀强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=122494329"
"DZKJSZDSPT","海外数字电视与浏览器开发所","146965716","13716865","海外数字电视与浏览器开发所 主页","已分享的链接","1","2","海外数字电视与浏览器开发所 主页 / 已分享的链接","其他","2021-12-06 10:53:01","未知用户 (linchao2)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=146965716"
"DZKJSZDSPT","海外数字电视与浏览器开发所","146965717","146965716","已分享的链接","teletext Level2.5新增功能简介","2","1","海外数字电视与浏览器开发所 主页 / 已分享的链接 / teletext Level2.5新增功能简介","其他","2021-12-06 10:53:01","未知用户 (linchao2)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=146965717"
"DZKJSZDSPT","海外数字电视与浏览器开发所","63900816","13716865","海外数字电视与浏览器开发所 主页","指导文章","1","3","海外数字电视与浏览器开发所 主页 / 指导文章","其他","2019-08-21 15:23:08","未知用户 (luhuase)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=63900816"
"DZKJSZDSPT","海外数字电视与浏览器开发所","14811687","13716865","海外数字电视与浏览器开发所 主页","文件列表","1","4","海外数字电视与浏览器开发所 主页 / 文件列表","其他","2018-04-08 13:37:26","何灿","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14811687"
"DZKJSZDSPT","海外数字电视与浏览器开发所","3670162","13716865","海外数字电视与浏览器开发所 主页","海外数字电视与浏览器开发所","1","5","海外数字电视与浏览器开发所 主页 / 海外数字电视与浏览器开发所","其他","2020-06-17 18:03:46","吴青/Frog Wu","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=3670162"
"DZKJSZDSPT","海外数字电视与浏览器开发所","16874004","3670162","海外数字电视与浏览器开发所","Project Status","2","1","海外数字电视与浏览器开发所 主页 / 海外数字电视与浏览器开发所 / Project Status","项目管理","2018-03-19 13:22:29","何灿","否","http://dmtks.hisense.com/display/DZKJSZDSPT/Project+Status"
"DZKJSZDSPT","海外数字电视与浏览器开发所","3670045","3670162","海外数字电视与浏览器开发所","Project Materials","2","2","海外数字电视与浏览器开发所 主页 / 海外数字电视与浏览器开发所 / Project Materials","项目管理","2016-12-13 17:12:53","何灿","否","http://dmtks.hisense.com/display/DZKJSZDSPT/Project+Materials"
"DZKJSZDSPT","海外数字电视与浏览器开发所","16671188","3670162","海外数字电视与浏览器开发所","Weekly Summary","2","3","海外数字电视与浏览器开发所 主页 / 海外数字电视与浏览器开发所 / Weekly Summary","其他","2018-02-28 15:14:53","朱登宇","否","http://dmtks.hisense.com/display/DZKJSZDSPT/Weekly+Summary"
