"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"DZKJZLCS","深研质量改善小组","13716878","","","深研质量改善小组 主页","0","1","深研质量改善小组 主页","数据与质量","2020-01-14 10:21:51","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=13716878"
"DZKJZLCS","深研质量改善小组","77136246","13716878","深研质量改善小组 主页","深研质量流程体系","1","1","深研质量改善小组 主页 / 深研质量流程体系","规范与流程","2020-01-07 18:40:13","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136246"
"DZKJZLCS","深研质量改善小组","77137954","77136246","深研质量流程体系","深研质量关系架构图","2","1","深研质量改善小组 主页 / 深研质量流程体系 / 深研质量关系架构图","设计与架构","2020-01-07 18:39:14","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77137954"
"DZKJZLCS","深研质量改善小组","77138241","77136246","深研质量流程体系","研发流程文件地图","2","2","深研质量改善小组 主页 / 深研质量流程体系 / 研发流程文件地图","规范与流程","2020-01-07 18:40:36","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77138241"
"DZKJZLCS","深研质量改善小组","77136252","13716878","深研质量改善小组 主页","深研质量策划与控制","1","2","深研质量改善小组 主页 / 深研质量策划与控制","数据与质量","2020-01-06 12:36:03","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136252"
"DZKJZLCS","深研质量改善小组","77138179","77136252","深研质量策划与控制","深研质量指标年度计划","2","1","深研质量改善小组 主页 / 深研质量策划与控制 / 深研质量指标年度计划","版本与计划","2020-01-07 18:03:34","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77138179"
"DZKJZLCS","深研质量改善小组","77136460","77136252","深研质量策划与控制","深研质量指标数据","2","2","深研质量改善小组 主页 / 深研质量策划与控制 / 深研质量指标数据","数据与质量","2020-01-06 12:36:56","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136460"
"DZKJZLCS","深研质量改善小组","77136462","77136252","深研质量策划与控制","深研质量指标分析","2","3","深研质量改善小组 主页 / 深研质量策划与控制 / 深研质量指标分析","问题与复盘","2020-01-06 12:37:15","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136462"
"DZKJZLCS","深研质量改善小组","77136249","13716878","深研质量改善小组 主页","深研质量改进工作","1","3","深研质量改善小组 主页 / 深研质量改进工作","数据与质量","2020-01-06 12:39:35","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136249"
"DZKJZLCS","深研质量改善小组","77138243","77136249","深研质量改进工作","深研质量改进年度计划","2","1","深研质量改善小组 主页 / 深研质量改进工作 / 深研质量改进年度计划","版本与计划","2020-01-07 18:42:41","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77138243"
"DZKJZLCS","深研质量改善小组","77136279","77136249","深研质量改进工作","深研质量月报","2","2","深研质量改善小组 主页 / 深研质量改进工作 / 深研质量月报","数据与质量","2020-01-06 10:44:47","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136279"
"DZKJZLCS","深研质量改善小组","77136268","77136249","深研质量改进工作","深研质量课题推进状态","2","3","深研质量改善小组 主页 / 深研质量改进工作 / 深研质量课题推进状态","数据与质量","2020-01-06 12:41:11","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136268"
"DZKJZLCS","深研质量改善小组","77136275","77136249","深研质量改进工作","深研QCC推进状态","2","4","深研质量改善小组 主页 / 深研质量改进工作 / 深研QCC推进状态","数据与质量","2020-01-06 12:40:50","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136275"
"DZKJZLCS","深研质量改善小组","77136473","77136249","深研质量改进工作","深研质量激励报告台帐","2","5","深研质量改善小组 主页 / 深研质量改进工作 / 深研质量激励报告台帐","数据与质量","2020-01-07 18:43:32","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136473"
"DZKJZLCS","深研质量改善小组","77136475","77136249","深研质量改进工作","深研质量教育培训","2","6","深研质量改善小组 主页 / 深研质量改进工作 / 深研质量教育培训","培训与知识","2020-01-06 12:42:57","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136475"
"DZKJZLCS","深研质量改善小组","77136257","13716878","深研质量改善小组 主页","深研质量保证","1","4","深研质量改善小组 主页 / 深研质量保证","数据与质量","2020-01-06 12:44:12","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136257"
"DZKJZLCS","深研质量改善小组","77136289","77136257","深研质量保证","深研交付界面管理","2","1","深研质量改善小组 主页 / 深研质量保证 / 深研交付界面管理","项目管理","2020-01-06 12:45:53","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136289"
"DZKJZLCS","深研质量改善小组","77136291","77136257","深研质量保证","质量事件闭环管理","2","2","深研质量改善小组 主页 / 深研质量保证 / 质量事件闭环管理","项目管理","2020-01-16 15:37:36","未知用户 (xieweilong)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136291"
"DZKJZLCS","深研质量改善小组","77138248","77136257","深研质量保证","江门工厂新品问题定责台帐","2","3","深研质量改善小组 主页 / 深研质量保证 / 江门工厂新品问题定责台帐","问题与复盘","2020-01-07 18:46:29","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77138248"
"DZKJZLCS","深研质量改善小组","77136284","77136257","深研质量保证","深研内审","2","4","深研质量改善小组 主页 / 深研质量保证 / 深研内审","数据与质量","2020-01-06 10:45:35","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136284"
"DZKJZLCS","深研质量改善小组","77136480","77136257","深研质量保证","深研外审","2","5","深研质量改善小组 主页 / 深研质量保证 / 深研外审","数据与质量","2020-01-06 12:44:36","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77136480"
"DZKJZLCS","深研质量改善小组","77138256","13716878","深研质量改善小组 主页","其他","1","5","深研质量改善小组 主页 / 其他","数据与质量","2020-01-07 18:49:11","未知用户 (wangxiangxiang)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=77138256"
