"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"JQ","电视应用软件所","5407673","","","电视应用软件所 Home","0","1","电视应用软件所 Home","其他","2016-08-25 09:04:13","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407673"
"JQ","电视应用软件所","5406829","5407673","电视应用软件所 Home","应用模块技术资料","1","1","电视应用软件所 Home / 应用模块技术资料","其他","2016-09-23 19:33:31","王济洋","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5406829"
"JQ","电视应用软件所","5407072","5406829","应用模块技术资料","A - 模块及负责人","2","1","电视应用软件所 Home / 应用模块技术资料 / A - 模块及负责人","其他","2016-09-23 12:47:38","王新鲁","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407072"
"JQ","电视应用软件所","5406849","5406829","应用模块技术资料","Launcher","2","2","电视应用软件所 Home / 应用模块技术资料 / Launcher","其他","2016-12-23 16:16:19","刘承龙","否","http://dmtks.hisense.com/display/JQ/Launcher"
"JQ","电视应用软件所","5407318","5406829","应用模块技术资料","MediaCenter","2","3","电视应用软件所 Home / 应用模块技术资料 / MediaCenter","其他","2015-05-07 22:50:20","未知用户 (brlyyuan)","否","http://dmtks.hisense.com/display/JQ/MediaCenter"
"JQ","电视应用软件所","5407254","5406829","应用模块技术资料","多屏互动/投屏助手","2","4","电视应用软件所 Home / 应用模块技术资料 / 多屏互动/投屏助手","其他","2016-11-28 11:12:49","王济洋","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407254"
"JQ","电视应用软件所","5407079","5406829","应用模块技术资料","Silo转场","2","5","电视应用软件所 Home / 应用模块技术资料 / Silo转场","其他","2019-01-07 16:36:17","王大勇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407079"
"JQ","电视应用软件所","5407098","5406829","应用模块技术资料","多媒体中间件(音视频)","2","6","电视应用软件所 Home / 应用模块技术资料 / 多媒体中间件(音视频)","其他","2016-12-26 17:35:22","李斌","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407098"
"JQ","电视应用软件所","5407075","5406829","应用模块技术资料","屏保/关机动画/声音主题/QRCode","2","7","电视应用软件所 Home / 应用模块技术资料 / 屏保/关机动画/声音主题/QRCode","其他","2017-08-23 10:43:42","付延松","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407075"
"JQ","电视应用软件所","5407077","5406829","应用模块技术资料","应用升级服务","2","8","电视应用软件所 Home / 应用模块技术资料 / 应用升级服务","其他","2016-12-05 10:09:49","未知用户 (jiangzehu)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407077"
"JQ","电视应用软件所","5406975","5406829","应用模块技术资料","视频加速","2","9","电视应用软件所 Home / 应用模块技术资料 / 视频加速","其他","2016-11-28 11:08:15","王济洋","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5406975"
"JQ","电视应用软件所","5406976","5406829","应用模块技术资料","QQ视频通话","2","10","电视应用软件所 Home / 应用模块技术资料 / QQ视频通话","其他","2016-12-30 10:22:01","未知用户 (yuwenqin)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5406976"
"JQ","电视应用软件所","5406979","5406829","应用模块技术资料","聚联播","2","11","电视应用软件所 Home / 应用模块技术资料 / 聚联播","其他","2017-01-03 18:44:05","宋虎","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5406979"
"JQ","电视应用软件所","5406972","5406829","应用模块技术资料","微信互联电视","2","12","电视应用软件所 Home / 应用模块技术资料 / 微信互联电视","其他","2016-11-28 11:17:23","王济洋","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5406972"
"JQ","电视应用软件所","5406980","5406829","应用模块技术资料","历史记录","2","13","电视应用软件所 Home / 应用模块技术资料 / 历史记录","其他","2016-11-28 10:58:11","王济洋","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5406980"
"JQ","电视应用软件所","15597489","5406829","应用模块技术资料","日历","2","14","电视应用软件所 Home / 应用模块技术资料 / 日历","其他","2022-07-13 15:06:14","苑衍梅","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=15597489"
"JQ","电视应用软件所","15769612","5406829","应用模块技术资料","全景播放器","2","15","电视应用软件所 Home / 应用模块技术资料 / 全景播放器","其他","2017-09-15 17:03:04","杨鲁明","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=15769612"
"JQ","电视应用软件所","17042130","5406829","应用模块技术资料","SmartSenseCenter","2","16","电视应用软件所 Home / 应用模块技术资料 / SmartSenseCenter","其他","2018-05-21 09:46:05","未知用户 (tangxueda)","否","http://dmtks.hisense.com/display/JQ/SmartSenseCenter"
"JQ","电视应用软件所","17171385","5406829","应用模块技术资料","平台移植","2","17","电视应用软件所 Home / 应用模块技术资料 / 平台移植","其他","2018-03-22 10:40:45","苑衍梅","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=17171385"
"JQ","电视应用软件所","5407572","5407673","电视应用软件所 Home","知识汇总","1","2","电视应用软件所 Home / 知识汇总","其他","2016-08-16 14:13:20","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407572"
"JQ","电视应用软件所","5407523","5407572","知识汇总","第三方方案商资料","2","1","电视应用软件所 Home / 知识汇总 / 第三方方案商资料","设计与架构","2016-08-16 14:48:35","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407523"
"JQ","电视应用软件所","5407525","5407572","知识汇总","竞品资料","2","2","电视应用软件所 Home / 知识汇总 / 竞品资料","其他","2016-08-16 14:48:59","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407525"
"JQ","电视应用软件所","5407517","5407572","知识汇总","Android/JAVA相关资料","2","3","电视应用软件所 Home / 知识汇总 / Android/JAVA相关资料","其他","2016-08-16 15:22:28","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407517"
"JQ","电视应用软件所","5407528","5407572","知识汇总","业余知识扩展","2","4","电视应用软件所 Home / 知识汇总 / 业余知识扩展","其他","2016-08-16 14:50:22","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407528"
"JQ","电视应用软件所","5407524","5407572","知识汇总","电视基础知识","2","5","电视应用软件所 Home / 知识汇总 / 电视基础知识","其他","2016-08-16 14:49:17","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407524"
"JQ","电视应用软件所","5407527","5407572","知识汇总","编译环境配置、调试工具及调试技巧汇总","2","6","电视应用软件所 Home / 知识汇总 / 编译环境配置、调试工具及调试技巧汇总","其他","2016-08-16 15:32:24","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407527"
"JQ","电视应用软件所","5407305","5407572","知识汇总","OTA and Application self-update","2","7","电视应用软件所 Home / 知识汇总 / OTA and Application self-update","其他","2015-05-07 23:06:02","未知用户 (brlyyuan)","否","http://dmtks.hisense.com/display/JQ/OTA+and+Application+self-update"
"JQ","电视应用软件所","5407498","5407572","知识汇总","Git/Gerrit","2","8","电视应用软件所 Home / 知识汇总 / Git/Gerrit","其他","2016-08-17 11:00:00","付友苹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407498"
"JQ","电视应用软件所","5407216","5407572","知识汇总","网络通信","2","9","电视应用软件所 Home / 知识汇总 / 网络通信","其他","2016-08-17 17:02:03","付友苹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407216"
"JQ","电视应用软件所","5407222","5407572","知识汇总","测试知识","2","10","电视应用软件所 Home / 知识汇总 / 测试知识","测试与验证","2016-08-17 17:09:03","付友苹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407222"
"JQ","电视应用软件所","5407226","5407572","知识汇总","技术分享","2","11","电视应用软件所 Home / 知识汇总 / 技术分享","其他","2016-08-17 17:36:20","付友苹","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407226"
"JQ","电视应用软件所","5407632","5407572","知识汇总","License key","2","12","电视应用软件所 Home / 知识汇总 / License key","其他","2015-05-06 23:32:12","未知用户 (brlyyuan)","否","http://dmtks.hisense.com/display/JQ/License+key"
"JQ","电视应用软件所","5407392","5407572","知识汇总","Document Center","2","13","电视应用软件所 Home / 知识汇总 / Document Center","其他","2016-09-21 14:56:38","王新鲁","否","http://dmtks.hisense.com/display/JQ/Document+Center"
"JQ","电视应用软件所","5407516","5407572","知识汇总","其他","2","14","电视应用软件所 Home / 知识汇总 / 其他","其他","2016-08-16 15:04:23","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407516"
"JQ","电视应用软件所","5406990","5407572","知识汇总","部门图书","2","15","电视应用软件所 Home / 知识汇总 / 部门图书","其他","2016-12-09 11:22:56","未知用户 (caozhe)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5406990"
"JQ","电视应用软件所","5407534","5407673","电视应用软件所 Home","部门工作","1","3","电视应用软件所 Home / 部门工作","其他","2016-08-16 14:55:30","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407534"
"JQ","电视应用软件所","5407533","5407534","部门工作","公司部门事宜","2","1","电视应用软件所 Home / 部门工作 / 公司部门事宜","其他","2016-08-16 14:55:59","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407533"
"JQ","电视应用软件所","5407115","5407534","部门工作","电视交互技术组","2","2","电视应用软件所 Home / 部门工作 / 电视交互技术组","其他","2016-12-08 16:06:32","黄玖法","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407115"
"JQ","电视应用软件所","5407539","5407534","部门工作","电视媒体技术组","2","3","电视应用软件所 Home / 部门工作 / 电视媒体技术组","其他","2016-08-16 14:57:09","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407539"
"JQ","电视应用软件所","5407535","5407534","部门工作","多媒体应用组","2","4","电视应用软件所 Home / 部门工作 / 多媒体应用组","其他","2017-07-12 19:09:48","杨鲁明","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407535"
"JQ","电视应用软件所","14517867","5407534","部门工作","部门月度例会","2","5","电视应用软件所 Home / 部门工作 / 部门月度例会","会议与协同","2017-04-01 08:48:53","杨鲁明","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14517867"
"JQ","电视应用软件所","5407544","5407673","电视应用软件所 Home","项目资料","1","4","电视应用软件所 Home / 项目资料","项目管理","2016-08-16 14:11:38","陈祥鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=5407544"
