"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"JUOS","海信JuOS操作系统知识库","187802516","","","海信JuOS操作系统知识库","0","1","海信JuOS操作系统知识库","其他","2025-05-11 22:13:15","何灿","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=187802516"
"JUOS","海信JuOS操作系统知识库","201950109","187802516","海信JuOS操作系统知识库","01. JuOS平台项目信息","1","1","海信JuOS操作系统知识库 / 01. JuOS平台项目信息","项目管理","2025-05-13 10:44:55","王强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=201950109"
"JUOS","海信JuOS操作系统知识库","303900604","201950109","01. JuOS平台项目信息","00.JuOS软件平台演进","2","1","海信JuOS操作系统知识库 / 01. JuOS平台项目信息 / 00.JuOS软件平台演进","项目管理","2025-06-26 01:51:45","于清晓","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=303900604"
"JUOS","海信JuOS操作系统知识库","216892220","201950109","01. JuOS平台项目信息","01.JuOS版本规划及项目信息","2","2","海信JuOS操作系统知识库 / 01. JuOS平台项目信息 / 01.JuOS版本规划及项目信息","版本与计划","2025-05-13 10:48:24","王强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=216892220"
"JUOS","海信JuOS操作系统知识库","202778187","201950109","01. JuOS平台项目信息","02.JuOS平台周报","2","3","海信JuOS操作系统知识库 / 01. JuOS平台项目信息 / 02.JuOS平台周报","项目管理","2025-05-13 10:38:35","王强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=202778187"
"JUOS","海信JuOS操作系统知识库","213419721","201950109","01. JuOS平台项目信息","03.过程管理","2","4","海信JuOS操作系统知识库 / 01. JuOS平台项目信息 / 03.过程管理","项目管理","2025-05-12 20:51:28","王强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=213419721"
"JUOS","海信JuOS操作系统知识库","217778204","201950109","01. JuOS平台项目信息","04.项目基本信息管理","2","5","海信JuOS操作系统知识库 / 01. JuOS平台项目信息 / 04.项目基本信息管理","项目管理","2025-05-12 20:51:37","王强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=217778204"
"JUOS","海信JuOS操作系统知识库","222802361","201950109","01. JuOS平台项目信息","05.持续改进","2","6","海信JuOS操作系统知识库 / 01. JuOS平台项目信息 / 05.持续改进","项目管理","2025-05-12 20:50:02","王强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=222802361"
"JUOS","海信JuOS操作系统知识库","187817100","187802516","海信JuOS操作系统知识库","02. 知识库","1","2","海信JuOS操作系统知识库 / 02. 知识库","其他","2023-07-17 15:58:58","肖成创","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=187817100"
"JUOS","海信JuOS操作系统知识库","222813128","187817100","02. 知识库","00.JuOS知识库补充计划","2","1","海信JuOS操作系统知识库 / 02. 知识库 / 00.JuOS知识库补充计划","版本与计划","2024-01-02 09:24:39","王强","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=222813128"
