"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"RJYFBGG","软件研发部公共空间","14824627","","","软件研发部公共空间 主页","0","1","软件研发部公共空间 主页","其他","2024-08-15 13:21:21","冯美美","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14824627"
"RJYFBGG","软件研发部公共空间","126233196","14824627","软件研发部公共空间 主页","部门重点工作","1","1","软件研发部公共空间 主页 / 部门重点工作","其他","2023-05-22 13:10:58","张继栋","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=126233196"
"RJYFBGG","软件研发部公共空间","142580413","126233196","部门重点工作","1、先进制造","2","1","软件研发部公共空间 主页 / 部门重点工作 / 1、先进制造","其他","2021-11-03 14:54:34","李燕芬","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=142580413"
"RJYFBGG","软件研发部公共空间","234507571","126233196","部门重点工作","2024 AI功能研发落地专项","2","2","软件研发部公共空间 主页 / 部门重点工作 / 2024 AI功能研发落地专项","其他","2024-06-28 13:08:21","张宝军","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=234507571"
"RJYFBGG","软件研发部公共空间","285346325","126233196","部门重点工作","2025 AI功能研发落地专项","2","3","软件研发部公共空间 主页 / 部门重点工作 / 2025 AI功能研发落地专项","其他","2024-12-31 16:54:34","刘蔚","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=285346325"
"RJYFBGG","软件研发部公共空间","198350744","126233196","部门重点工作","2、年重点大事","2","4","软件研发部公共空间 主页 / 部门重点工作 / 2、年重点大事","其他","2023-02-14 20:07:58","王卫明","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=198350744"
"RJYFBGG","软件研发部公共空间","165745426","126233196","部门重点工作","CI","2","5","软件研发部公共空间 主页 / 部门重点工作 / CI","其他","2022-05-23 20:17:17","李燕芬","否","http://dmtks.hisense.com/display/RJYFBGG/CI"
"RJYFBGG","软件研发部公共空间","182653045","126233196","部门重点工作","电视Coverity项目及问题处理会议讨论","2","6","软件研发部公共空间 主页 / 部门重点工作 / 电视Coverity项目及问题处理会议讨论","问题与复盘","2022-10-17 15:25:49","未知用户 (liuke8)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=182653045"
"RJYFBGG","软件研发部公共空间","126233199","126233196","部门重点工作","聚好看与视像研发团队融合工作","2","7","软件研发部公共空间 主页 / 部门重点工作 / 聚好看与视像研发团队融合工作","其他","2021-05-29 17:28:18","刘承龙","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=126233199"
"RJYFBGG","软件研发部公共空间","128359043","126233196","部门重点工作","输出物存档 - 聚好看、整机软件准时交付率提升","2","8","软件研发部公共空间 主页 / 部门重点工作 / 输出物存档 - 聚好看、整机软件准时交付率提升","项目管理","2021-07-09 15:19:12","杨鲁明","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=128359043"
