"空间键","空间名称","页面ID","父页面ID","父页面标题","标题","层级深度","同级序号","目录路径","主题推断","最后修改时间","最后修改人","子页面是否截断","链接"
"RUANJIANYANFA","电视产品软件所","4489435","","","电视产品软件所 Home","0","1","电视产品软件所 Home","其他","2025-10-11 17:08:50","冯美美","是","http://dmtks.hisense.com/pages/viewpage.action?pageId=4489435"
"RUANJIANYANFA","电视产品软件所","14535109","4489435","电视产品软件所 Home","0、常用页面工具和URL","1","1","电视产品软件所 Home / 0、常用页面工具和URL","其他","2020-07-21 14:39:28","吴汉勇","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14535109"
"RUANJIANYANFA","电视产品软件所","79792683","14535109","0、常用页面工具和URL","内销电视整机软件所用餐统计","2","1","电视产品软件所 Home / 0、常用页面工具和URL / 内销电视整机软件所用餐统计","数据与质量","2020-03-13 17:27:17","未知用户 (lvning)","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=79792683"
"RUANJIANYANFA","电视产品软件所","81887475","4489435","电视产品软件所 Home","1、产品线管理","1","2","电视产品软件所 Home / 1、产品线管理","项目管理","2020-03-01 12:33:09","刘金刚","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=81887475"
"RUANJIANYANFA","电视产品软件所","14839548","81887475","1、产品线管理","10、芯片论证及新品策划","2","1","电视产品软件所 Home / 1、产品线管理 / 10、芯片论证及新品策划","项目管理","2017-07-17 17:32:43","王卫明","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=14839548"
"RUANJIANYANFA","电视产品软件所","16654659","81887475","1、产品线管理","12、竞品分析","2","2","电视产品软件所 Home / 1、产品线管理 / 12、竞品分析","问题与复盘","2017-11-22 16:13:48","李鑫","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=16654659"
"RUANJIANYANFA","电视产品软件所","35619386","81887475","1、产品线管理","13、芯片商培训资料","2","3","电视产品软件所 Home / 1、产品线管理 / 13、芯片商培训资料","培训与知识","2018-10-22 18:03:41","唐高明","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=35619386"
"RUANJIANYANFA","电视产品软件所","70779000","81887475","1、产品线管理","15、产品线工作","2","4","电视产品软件所 Home / 1、产品线管理 / 15、产品线工作","项目管理","2019-11-03 19:46:43","刘金刚","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=70779000"
"RUANJIANYANFA","电视产品软件所","121832568","81887475","1、产品线管理","1、内销软件例会","2","5","电视产品软件所 Home / 1、产品线管理 / 1、内销软件例会","会议与协同","2021-04-12 13:31:16","刘金刚","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=121832568"
"RUANJIANYANFA","电视产品软件所","116828158","81887475","1、产品线管理","2021新品跟踪","2","6","电视产品软件所 Home / 1、产品线管理 / 2021新品跟踪","项目管理","2021-03-01 16:22:50","祖荫鹏","否","http://dmtks.hisense.com/pages/viewpage.action?pageId=116828158"
